6;1423;1423;READ;109644.87;60
6;1423;1423;INSERT;46295.8;60
7;6810;5387;READ;11124.1;60
7;6810;5387;INSERT;12066.15;60
8;13148;6331.67;READ;9356.03;60
8;13148;6331.67;INSERT;9742.33;60
9;20161;7020.02;READ;8515.66;60
9;20161;7020.02;INSERT;9626.1;60
10;27149;6988;READ;8516.21;60
10;27149;6988;INSERT;10343.16;60
11;34821;7664.34;READ;7778.12;60
11;34821;7664.34;INSERT;8181.72;60
12;42816;7971.09;READ;7485.73;60
12;42816;7971.09;INSERT;7830.73;60
13;50506;7705.41;READ;7770.32;60
13;50506;7705.41;INSERT;8167.9;60
14;58087;7581;READ;7841.6;60
14;58087;7581;INSERT;7308.59;60
15;62056;2966.37;READ;18656.52;60
15;62056;2966.37;INSERT;19165.59;60
16;65282;4858.43;READ;11572.82;60
16;65282;4858.43;INSERT;20103.51;60
17;69105;3830.66;READ;16043.84;60
17;69105;3830.66;INSERT;16086.1;60
18;71969;2844.09;READ;20145.16;60
18;71969;2844.09;INSERT;35731.57;60
19;74601;2600.79;READ;21398.44;60
19;74601;2600.79;INSERT;67208.68;60
20;74813;113.07;READ;536845.71;60
20;74813;113.07;INSERT;738918.4;60
21;74943;1226.42;READ;81549.02;60
21;74943;1226.42;INSERT;27268.86;60
22;80526;5544.19;READ;10325.76;60
22;80526;5544.19;CLEANUP;2.33;60
22;80526;5544.19;INSERT;10516.93;60
23;85128;4634.44;READ;12699.95;60
23;85128;4634.44;CLEANUP;0;60
23;85128;4634.44;INSERT;12970.68;60
24;89062;3227.24;READ;13955.51;60
24;89062;3227.24;CLEANUP;0.8;60
24;89062;3227.24;INSERT;16384.99;60
25;90634;2005.1;READ;28333.21;60
25;90634;2005.1;CLEANUP;1;60
25;90634;2005.1;INSERT;36510.12;60
26;92412;1694.95;READ;29406.37;60
26;92412;1694.95;CLEANUP;1;60
26;92412;1694.95;INSERT;30217.99;60
27;94756;2459.6;READ;17658.94;60
27;94756;2459.6;CLEANUP;0.67;60
27;94756;2459.6;INSERT;20436.85;60
8;877;877;READ;209460.01;60
8;877;877;INSERT;44244.53;60
9;3114;2237;READ;26079.15;60
9;3114;2237;INSERT;27997;60
10;4937;1821.18;READ;31152.15;60
10;4937;1821.18;INSERT;36889.66;60
11;5413;459.9;READ;114283.19;60
11;5413;459.9;INSERT;138188.26;60
12;5937;380.26;READ;166597.44;60
12;5937;380.26;INSERT;281229.33;60
13;6316;409.29;READ;104417.06;60
13;6316;409.29;INSERT;317311.5;60
14;6488;207.23;READ;284629.88;60
14;6488;207.23;INSERT;675278.17;60
15;6570;98.44;READ;269665.79;60
15;6570;98.44;INSERT;834528.5;60
16;6635;65;READ;824563.43;60
16;6635;65;INSERT;1268157;60
17;6658;23.02;READ;1763181.57;60
17;6658;23.02;INSERT;1886541;60
18;7025;367.37;READ;284412.1;60
18;7025;367.37;INSERT;257122.04;60
21;7172;45.82;READ;925921.02;60
21;7172;45.82;INSERT;792657.57;60
21;7175;7.14;READ;1384373.33;60
21;7209;209.88;READ;350685.48;60
21;7209;209.88;INSERT;513867;60
22;7335;169.35;READ;389401.25;60
22;7335;169.35;INSERT;771307.44;60
23;7530;361.11;READ;105033.53;60
23;7530;361.11;INSERT;510868.14;60
24;7899;396.35;READ;154562.65;60
24;7899;396.35;INSERT;237098.16;60
25;8297;397.6;READ;128688.12;60
25;8297;397.6;INSERT;112541.35;60
26;8354;50.94;READ;964077.03;60
30;8354;0;INSERT;4859035;60
31;8392;21.97;READ;4990396.84;60
31;8392;21.97;INSERT;5149317;60
35;8394;0.89;READ;9876268;60
37;8395;0.44;READ;12342434.25;60
37;8403;14.06;READ;15178432;60
37;8403;14.06;INSERT;12766335;60
42;8414;2.41;READ;16870428.75;60
5;158;157.53;READ;380745.41;60
5;158;157.53;INSERT;635752.11;60
6;4346;4200.6;READ;27095;60
6;4346;4200.6;INSERT;23372.08;60
7;8984;4638;READ;13014.87;60
7;8984;4638;INSERT;13790;60
8;19330;6878.99;READ;8607.47;60
8;19330;6878.99;INSERT;9196.84;60
9;21904;5189.52;READ;11847.24;60
9;21904;5189.52;INSERT;12695.72;60
10;27467;5551.9;READ;10749.88;60
10;27467;5551.9;INSERT;11475.65;60
11;33837;6357.29;READ;9434.49;60
11;33837;6357.29;INSERT;9324.24;60
12;40530;6719.88;READ;8843.25;60
12;40530;6719.88;INSERT;9191.56;60
13;48550;8011.99;READ;7499.67;60
13;48550;8011.99;INSERT;7627.71;60
14;58834;10294.29;READ;5815.79;60
14;58834;10294.29;INSERT;6511.59;60
15;69517;10651.05;READ;5524.99;60
15;69517;10651.05;INSERT;6453.7;60
16;78838;9349.05;READ;6088.39;60
16;78838;9349.05;CLEANUP;2;60
16;78838;9349.05;INSERT;6866.7;60
17;89035;10197;READ;5715.45;60
17;89035;10197;CLEANUP;0;60
17;89035;10197;INSERT;6854.73;60
18;96919;7884;READ;4902.15;60
18;96919;7884;CLEANUP;0.82;60
18;96919;7884;INSERT;5032.3;60
18;100000;4740;READ;2461.39;60
18;100000;4740;CLEANUP;0.33;60
18;100000;4740;INSERT;3421.79;60
