7;2312;2312;READ;87478.19;70
7;2312;2312;UPDATE;87564.07;70
8;6855;4543;READ;15010.73;70
8;6855;4543;UPDATE;16725.63;70
9;12294;5439;READ;13008.43;70
9;12294;5439;UPDATE;12762.38;70
10;16902;4603.4;READ;14811.44;70
10;16902;4603.4;UPDATE;15067.43;70
11;21708;4806;READ;14535.34;70
11;21708;4806;UPDATE;14651.9;70
12;26381;4677.68;READ;15254.34;70
12;26381;4677.68;UPDATE;14926.86;70
13;31258;4852.74;READ;14350.63;70
13;31258;4852.74;UPDATE;14136.88;70
14;35108;3869.35;READ;18729.8;70
14;35108;3869.35;UPDATE;17743.99;70
15;38894;3782.22;READ;17266.07;70
15;38894;3782.22;UPDATE;18009.14;70
16;42751;3860.86;READ;19447.44;70
16;42751;3860.86;UPDATE;17740.38;70
17;47291;4540;READ;14882.07;70
17;47291;4540;UPDATE;16523.79;70
18;52206;4915;READ;13325.64;70
18;52206;4915;CLEANUP;1;70
18;52206;4915;UPDATE;14328.23;70
19;56389;4183;READ;16108.92;70
19;56389;4183;CLEANUP;0.5;70
19;56389;4183;UPDATE;15918.5;70
20;61280;4891;READ;13220.13;70
20;61280;4891;UPDATE;13283.2;70
21;66338;5052.95;READ;12288.9;70
21;66338;5052.95;CLEANUP;1;70
21;66338;5052.95;UPDATE;12767.52;70
22;69705;3370.37;READ;17977.31;70
22;69705;3370.37;CLEANUP;1;70
22;69705;3370.37;UPDATE;18501.17;70
23;73876;4171;READ;14184.46;70
23;73876;4171;CLEANUP;0;70
23;73876;4171;UPDATE;14175.49;70
24;78468;4578.27;READ;11546.88;70
24;78468;4578.27;CLEANUP;0.67;70
24;78468;4578.27;UPDATE;11766.38;70
25;80748;2284.57;READ;25353.83;70
25;80748;2284.57;CLEANUP;1;70
25;80748;2284.57;UPDATE;25864.75;70
26;84837;4089;READ;13462.9;70
26;84837;4089;CLEANUP;1;70
26;84837;4089;UPDATE;13112.36;70
27;89095;4258;READ;10234.36;70
27;89095;4258;CLEANUP;0.56;70
27;89095;4258;UPDATE;9815.39;70
28;92763;3671.67;READ;13116.34;70
28;92763;3671.67;CLEANUP;0.7;70
28;92763;3671.67;UPDATE;10980.04;70
29;95581;2818;READ;11407.42;70
29;95581;2818;CLEANUP;0.6;70
29;95581;2818;UPDATE;11258.15;70
30;97915;2334;READ;8204.78;70
30;97915;2334;CLEANUP;1;70
30;97915;2334;UPDATE;8610.18;70
31;98982;1067;READ;10274.96;70
31;98982;1067;CLEANUP;1.67;70
31;98982;1067;UPDATE;10877.53;70
31;100000;1183.72;READ;4613.11;70
31;100000;1183.72;CLEANUP;1.14;70
31;100000;1183.72;UPDATE;4300.23;70
