5;634;634.63;READ;110156.78;40
5;634;634.63;UPDATE;142700.8;40
6;5063;4420.16;READ;8968.73;40
6;5063;4420.16;UPDATE;10800.81;40
7;10665;5613.23;READ;6771.21;40
7;10665;5613.23;UPDATE;7332.47;40
8;15537;4872;READ;8562.87;40
8;15537;4872;UPDATE;8269.34;40
9;21015;5478;READ;7149.27;40
9;21015;5478;UPDATE;7693.29;40
10;25509;4494;READ;8876.71;40
10;25509;4494;UPDATE;10176.14;40
11;31199;5690;READ;7035.03;40
11;31199;5690;UPDATE;7735.54;40
12;37153;5954;READ;6658;40
12;37153;5954;UPDATE;8112.07;40
13;43079;5902.39;READ;6563.34;40
13;43079;5902.39;UPDATE;10535.31;40
14;49140;6085.34;READ;6349.98;40
14;49140;6085.34;UPDATE;6190.29;40
15;56690;7550;READ;5487.85;40
15;56690;7550;UPDATE;5432.81;40
16;62324;5628.37;READ;7072.33;40
16;62324;5628.37;UPDATE;6943.91;40
17;69344;7027.03;READ;5653.61;40
17;69344;7027.03;UPDATE;6620.72;40
18;74856;5512;READ;7245.73;40
18;74856;5512;UPDATE;7169.8;40
19;80776;5920;READ;6696.25;40
19;80776;5920;UPDATE;8026.92;40
20;86816;6040;READ;6322.84;40
20;86816;6040;CLEANUP;2;40
20;86816;6040;UPDATE;6484.95;40
21;93099;6264.21;READ;5451.62;40
21;93099;6264.21;CLEANUP;0.56;40
21;93099;6264.21;UPDATE;5734.08;40
22;98568;5485.46;READ;3875.76;40
22;98568;5485.46;CLEANUP;0.38;40
22;98568;5485.46;UPDATE;4801.54;40
22;100000;2414.84;READ;1527.67;40
22;100000;2414.84;CLEANUP;0.42;40
22;100000;2414.84;UPDATE;2197.91;40
